fight_id,pred_delta_live,p_steam_live,pred_qclose_live,p_mkt_live,event_id,event_date,year,fold,movement_spec,f1_name,f2_name,division,selected_side,selected_fighter,selected_odds,selected_p_market,selected_ev,selected_steam_prob,pred_clv_pp,realized_clv_pp,pred_qclose_fav,qfav_opening,qfav_closing,prob_fav_steams,pred_delta_fav,selected_won,unit_return,kelly_raw,result,movement_alpha,direction_C,sel_fav_live,ev_live,steam_sel_live,clv_live,qual_live,qual_ship
86,-0.12905996201832093,0.33902976440350296,0.585007120057399,0.5886326199025725,8,2026-06-06,2026,2026,MOV_MKT_STATS,jordan leavitt,joanderson brito,Featherweight,underdog,jordan leavitt,2.49,0.4095472958994985,0.0197727667897515,0.645509057751004,2.922557570357176,1.1737906462019665,0.5867314210979047,0.6159569968014764,0.6042190903394568,0.354490942248996,-0.1219531404626109,0,-1.0,0.0132703132817124,0,100,0.01,False,0.024304776442594545,0.660970235596497,3.0949876744077454,False,False
82,0.08312214917244479,0.6353008652027876,0.7347845100678204,0.7540906120150453,8,2026-06-06,2026,2026,MOV_MKT_STATS,iwo baraniewski,junior tafa,Light Heavyweight,favorite,iwo baraniewski,1.32573,0.7585040414562599,0.0055715628798076,0.6559278949212365,2.0288481310188344,6.249071810249696,0.7385617354067897,0.7182732540966014,0.7807639721990983,0.6559278949212365,0.10259406200775,1,0.3257300000000001,0.0171048502741769,1,100,0.01,True,-0.0002794529332939,0.6353008652027876,1.6511255971219052,False,False
77,-0.08592332272260286,0.42875631233486056,0.6006306020756236,0.6051748107551306,7,2026-06-14,2026,2026,MOV_MKT_STATS,diego lopes,steve garcia,Featherweight,underdog,steve garcia,2.52,0.3889489328744512,-0.0198486891563829,0.5435627708483032,1.4899268183678926,6.462421089261161,0.6061529223807639,0.6210521905644428,0.5564279796718312,0.4564372291516968,-0.0628470362424145,0,-1.0,0.0,1,100,0.01,False,-0.005040523102929018,0.5712436876651394,2.0421588488819253,False,False
76,0.0693397784103033,0.6311110895452788,0.746092401728609,0.7673409262844623,7,2026-06-14,2026,2026,MOV_MKT_STATS,bo nickal,kyle daukaus,Middleweight,favorite,bo nickal,1.30581,0.7645635550754181,-0.0016252641469683,0.6206224882493518,1.0995961781215755,1.7505991011865452,0.7437301450589119,0.7327341832776961,0.7502401742895616,0.6206224882493518,0.056907988105541,1,0.3058099999999999,0.0,1,100,0.01,True,0.0020014549515137148,0.6311110895452788,1.3358218450912895,False,False
75,0.1360018939959748,0.7435425596995596,0.833199406827449,0.8721879489419768,7,2026-06-14,2026,2026,MOV_MKT_STATS,mauricio ruffy,michael chandler,Lightweight,favorite,mauricio ruffy,1.2293577981651376,0.8800476342104303,0.0818934218733729,0.7934922076383982,2.627132826591738,-2.6652452025586304,0.8397041640868129,0.8134328358208955,0.7867803837953092,0.7934922076383982,0.1835565043914713,1,0.2293577981651375,0.3570553193679059,1,100,0.01,True,0.07223105649747597,0.7435425596995596,1.9766571006553435,False,True
74,0.13046246106355147,0.720136602706385,0.7539565541784091,0.7766217184350158,7,2026-06-14,2026,2026,MOV_MKT_STATS,josh hokit,derrick lewis,Heavyweight,favorite,josh hokit,1.3125,0.7929370208390123,0.0407298398512037,0.7978299821386606,3.871563829067237,8.250268286362594,0.7676779511456026,0.7289623128549302,0.8114649957185561,0.7978299821386606,0.2058816045927884,1,0.3125,0.1303354875238518,1,100,0.01,True,0.01931600544595824,0.720136602706385,2.499424132347894,False,True
73,0.11292335783389196,0.6976504269318762,0.7879171462664304,0.8172515251122792,7,2026-06-14,2026,2026,MOV_MKT_STATS,sean o'malley,aiemann zahabi,Bantamweight,favorite,sean o'malley,1.24155,0.8093627767443432,0.0048643554669391,0.6572988958544226,1.2939988973935113,1.8443438694773275,0.7813744901909341,0.768434501216999,0.7868779399117722,0.6572988958544226,0.0742017062322084,1,0.2415499999999999,0.0201380892856104,1,100,0.01,True,0.014658631003150235,0.6976504269318762,1.9482645049431424,False,False
72,-0.13113840283749276,0.3501358955907871,0.4747654250889054,0.47383370100622607,7,2026-06-14,2026,2026,MOV_MKT_STATS,alex pereira,ciryl gane,Heavyweight,underdog,ciryl gane,1.93458,0.5286820352827878,0.0227776918173756,0.6646212127827104,3.51857501206454,-0.8086030374955144,0.4723422486830598,0.5075279988037052,0.5156140291786604,0.3353787872172896,-0.1408583201216561,1,0.93458,0.0243721156213225,0,100,0.01,False,0.017910798707374997,0.6498641044092128,3.2762573714799847,False,False
71,0.18824452114756973,0.7869744079010722,0.8511751988918617,0.8938114613178416,7,2026-06-14,2026,2026,MOV_MKT_STATS,ilia topuria,justin gaethje,Lightweight,favorite,ilia topuria,1.15873,0.8935865634215797,0.035425558633487,0.7879544015326371,2.5265078425098952,-10.095096177366116,0.850986682400595,0.8257216039754961,0.724770642201835,0.7879544015326371,0.1867571195339323,0,-1.0,0.223181242572211,0,100,0.01,True,0.03568615457282265,0.7869744079010722,2.5453594916365563,True,True
61,0.08053509284222984,0.6133422347156755,0.7269768103039944,0.7450086081870969,6,2026-06-20,2026,2026,MOV_MKT_STATS,manel kape,kyoji horiguchi,Flyweight,favorite,manel kape,1.36364,0.7250942316239203,-0.0112325019883573,0.5108200615694787,-0.101645445663312,-14.78972091134696,0.7096869509795054,0.7107034054361385,0.5628061963226689,0.5108200615694787,-0.0049386123218713,1,0.3636399999999999,0.0,1,100,0.01,True,0.015923538468252785,0.6133422347156755,1.627340486785589,False,False
